site,name,year,month,day,tmin,tmax,date,working,demand,area_string
PM,Port Melbourne,2015,09,17,8.4,14.7,2015-09-17,Weekday,12.11083789,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,18,9.3,14.3,2015-09-18,Weekday,19.68871289,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,18,9.3,14.3,2015-09-18,Weekday,20.11598828,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,18,9.3,14.3,2015-09-18,Weekday,12.20084082,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,19,5.8,20.4,2015-09-19,Weekend,16.368845699999998,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,19,5.8,20.4,2015-09-19,Weekend,16.51087695,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,19,5.8,20.4,2015-09-19,Weekend,8.286123047,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,20,6,22.1,2015-09-20,Weekend,15.52059473,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,20,6,22.1,2015-09-20,Weekend,15.92391992,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,20,6,22.1,2015-09-20,Weekend,7.861117188,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,21,13.6,17.5,2015-09-21,Weekday,17.28882227,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
NC,Northcote,2015,09,21,13.6,17.5,2015-09-21,Weekday,21.31969531,"Residential: 79.1%
Parkland: 11.3%
Commercial: 3.4%"
PM,Port Melbourne,2015,09,21,13.6,17.5,2015-09-21,Weekday,11.66100195,"Commercial: 37.7%
Residential: 29.4%
Industrial: 17.1%"
DA,Dock Area,2015,09,22,6.6,12.8,2015-09-22,Weekday,17.97478125,"Commercial: 59%
Industrial: 25%
Parkland: 7%"
